MONDO,EFO
MONDO_0006408,EFO_1000523
MONDO_0006406,EFO_1000520
MONDO_0006407,EFO_1000521
MONDO_0003264,EFO_1000529
MONDO_0006411,EFO_1000527
MONDO_0006409,EFO_1000524
MONDO_0006410,EFO_1000525
MONDO_0006416,EFO_1000533
MONDO_0000082,EFO_0004710
MONDO_0006417,EFO_1000534
MONDO_0006414,EFO_1000531
MONDO_0006422,EFO_1000539
MONDO_0006420,EFO_1000537
MONDO_0006421,EFO_1000538
MONDO_0006418,EFO_1000535
MONDO_0006419,EFO_1000536
MONDO_0006426,EFO_1000545
MONDO_0002894,EFO_1000543
MONDO_0006423,EFO_1000540
MONDO_0006424,EFO_1000541
MONDO_0006429,EFO_1000548
MONDO_0004952,EFO_0000183
MONDO_0006430,EFO_1000549
MONDO_0003736,EFO_1001879
MONDO_0006427,EFO_1000546
MONDO_0006428,EFO_1000547
MONDO_0006436,EFO_1000555
MONDO_0016037,EFO_1000556
MONDO_0005031,EFO_0000497
MONDO_0007667,EFO_1000553
MONDO_0006435,EFO_1000554
MONDO_0015288,EFO_0007308
MONDO_0006432,EFO_1000551
MONDO_0019475,EFO_1000552
MONDO_0019462,EFO_1000550
MONDO_0006014,EFO_0007543
MONDO_0005961,EFO_0007486
MONDO_0005790,EFO_0007305
MONDO_0017767,EFO_1001160
MONDO_0005609,EFO_0006510
MONDO_0005810,EFO_0007326
MONDO_0005952,EFO_0007477
MONDO_0000989,EFO_0007383
MONDO_0005557,EFO_0005769
MONDO_0013209,EFO_0003095
MONDO_0005629,EFO_0007126
MONDO_0005632,EFO_0007129
MONDO_0005631,EFO_0007128
MONDO_0005111,EFO_0000769
MONDO_0005187,EFO_0002612
MONDO_0005132,EFO_0001062
MONDO_0006345,EFO_1000438
MONDO_0006346,EFO_1000439
MONDO_0004965,EFO_0000216
MONDO_0006344,EFO_1000437
MONDO_0006348,EFO_1000444
MONDO_0006347,EFO_1000442
MONDO_0005057,EFO_0000563
MONDO_0006349,EFO_1000448
MONDO_0012004,EFO_1000456
MONDO_0006352,EFO_1000454
MONDO_0006353,EFO_1000455
MONDO_0005446,EFO_0005046
MONDO_0006351,EFO_1000452
MONDO_0006350,EFO_1000450
MONDO_0006355,EFO_1000458
MONDO_0006356,EFO_1000459
MONDO_0005451,EFO_0005203
MONDO_0006363,EFO_1000468
MONDO_0006360,EFO_1000465
MONDO_0006358,EFO_1000463
MONDO_0005917,EFO_0007441
MONDO_0006357,EFO_1000461
MONDO_0006364,EFO_1000469
MONDO_0006365,EFO_1000470
MONDO_0006366,EFO_1000471
MONDO_0006374,EFO_1000479
MONDO_0006372,EFO_1000477
MONDO_0006369,EFO_1000474
MONDO_0016722,EFO_1000475
MONDO_0006367,EFO_1000472
MONDO_0006368,EFO_1000473
MONDO_0004684,EFO_1000481
MONDO_0006375,EFO_1000480
MONDO_0006382,EFO_1000489
MONDO_0006381,EFO_1000487
MONDO_0003308,EFO_1000485
MONDO_0006380,EFO_1000486
MONDO_0006377,EFO_1000483
MONDO_0006378,EFO_1000484
MONDO_0006385,EFO_1000492
MONDO_0006383,EFO_1000490
MONDO_0018842,EFO_1000491
MONDO_0006389,EFO_1000498
MONDO_0006390,EFO_1000499
MONDO_0010911,EFO_1000496
MONDO_0006388,EFO_1000497
MONDO_0006386,EFO_1000494
